Sl. No.,text,Label
39246,"BANGKOK (Reuters) - A woman s 750-km (470-mile) trek to see the late Thai king s cremation ceremony was only one example of the level of religious devotion on display in Thailand on Thursday. Thailand s semi-divine  father  was idolized like no other modern monarch. A year of mourning has done nothing to diminish that veneration as Thailand marks a final end to his era with his cremation, uncertain of what is to follow.  I have walked a long way until all my toe-nails have fallen off,  said 61-year-old Montha Suchit, who set off in mid-September from Nakhon Si Thammarat in southern Thailand.  This is the least we can do to repay him,  she told Reuters as she waited, clad in black like most of Thailand, for King Bhumibol Adulyadej s funeral procession to pass by. Thousands spent days camped on torn cardboard boxes to secure a spot near the procession with only plastic sheets for protection from intermittent monsoon rain and tropical sun.  He was the lifeblood of the nation,  said Sorana Theppanao, 60, who counted himself lucky to have got a place near the procession by sleeping out for three days.  King Bhumibol developed a very personal following with hikes to remote villages and an emphasis on helping the poor despite the royal family s immense wealth. He cultivated an image of being above coups and protests while intervening in times of crisis. The royal image was enhanced by a well-funded public relations apparatus. It was also protected by laws that meant anyone insulting it could get a long jail sentence.  The circumstances and propaganda were crucial, but the individual made it all work the way it did, and hence the Thais  deeply emotional final farewell,  said Thitinan Pongsudhirak of Chulalongkorn University. Some mourners questioned whether the king would have wanted such an ostentatious sendoff, for which $90 million was budgeted. Upstream of Bangkok, some districts were left flooded after heavy rains so waters could not disrupt the spectacle.  We all came out to thank the king personally, so in that sense the extravagance was not needed and does not reflect the late king s attitude,  said 70 year-old Tip Boonmak. As the procession passed, mourners dropped to their knees, many still holding up mobile phones to record the scene.  This is the last day we meet him before he goes to heaven,  said Kannika Kamsikeaw, 39. For foreign visitors, the emotion was hard to comprehend.  It s incredible to see this humungous outpouring of devotion,  said 34-year-old Australian Celine Massa.  I don t feel that emotion for any public figure.  More than 95 percent of Thais were born during King Bhumibol s reign, marked by economic transformation and political turbulence through which he was a stabilising figure. King Maha Vajiralongkorn, who has succeeded his father, does not have the same following. Recently, he has spent much of his time in Germany, where his son is at school. Asserting his new power, he has required changes to the constitution and taken personal control of the palace s financial holdings.  Besides drawing a line under King Bhumibol s era, the cremation is a step towards the military government s promised revival of politics and an election next year. For more than a decade, politics in Thailand was torn between  yellow shirts  - royalists dressed in the king s color - and  red shirts , who backed a populist movement whose governments were twice overthrown by the army. But any animosities were hidden on Thursday on the streets of Bangkok.  Today there is no color,  said Napthanicha Chantarasena, 33, among those who had camped out for days.  There is only my king.  ",0
39247,"AGUA BONITA, Colombia (Reuters) - Colombia s former Marxist FARC rebels have begun to construct  communes in rural areas once torn apart by violence, part of their bid to reintegrate into society following a peace deal with the government. More than 11,000 fighters and supporters of the Revolutionary Armed Forces of Colombia (FARC) have demobilized under last year s deal, ending its part in a half-century war that has killed more than 220,000 people.  The group is now a political party, known as the People s Revolutionary Alternative Force, maintaining the FARC acronym in Spanish. The deal has been met with skepticism by many Colombians, who oppose ex-rebel participation in politics and have demanded jail sentences for leaders accused of murder, kidnapping and  sexual violence. Former rebels living in the nascent town of Agua Bonita, in southern Caqueta province, say a communal model will help alleviate deep socio-economic inequalities in Colombia, where the rural poor often lack access to public services.  This is a project that will create conditions for a dignified life, where people aren t just guaranteed dignified housing, but also health, employment, education,  Federico Montes, an ex-rebel and community leader told Reuters. The town, which has 65 modest houses, is carved from Caqueta s jungle and plains, long the scene of battles between the rebels and the military. It is so far home to 250 former combatants and their families, and has a library, health center, communal store and bakery.  Towns like Agua Bonita will help fight the country s high poverty rate and offer a model for communal living in line with leftist beliefs, Montes said.  We want to build a small model of what a more just, more equal and most of all more humane Colombia could be, where people have basic services and jobs,  he said. The FARC were founded in 1964 as the armed wing of the country s Communist party and revere Marxist leaders like Che Guevara. The group has long nurtured ties with socialist and communists governments in Venezuela and Cuba. While local ex-rebels see the commune projects as a chance to build local left-wing utopias, national FARC leaders are more cautious. When asked whether the communities would be run as communist enclaves, Pastor Alape, a leader of the FARC party, angrily denied they would have such an ideology and said any suggestion would open them up to criticism that they want to run independent states. Many FARC members have expressed fears they could be targeted for assassinations in a repeat of the 1980s killings of some 5,000 members of the rebel-allied Patriotic Union party, which grew out of a failed peace process with the government. Residents have begun to plant pineapple, plantain and cassava and plan to hand over the $2,700 they are supposed to receive from the government after demobilization to the community. Agua Bonita is protected by the police, while the army operates nearby in an effort to combat crime gangs who are trying to move into former rebel territory and take control of lucrative coca crops, the base ingredient in cocaine.  We need to be united to survive,  said 34-year-old Danilo Ortiz, who spent two decades as a FARC fighter, as he sewed a boot in the town s shoe-making workshop, set along a neat red dirt street. Rebels are looking for opportunities in areas that have not had state presence for years, Joshua Mitrotti, the head of the country s reintegration agency, said on a visit to Agua Bonita. The town is a  good start  to integrating rural areas and could be replicated if it gets sufficient support from the government, said Jean Arnault, the head of the United Nation s verification mission in Colombia. ",0
39248,"HELSINKI (Reuters) - Four people were killed and several injured when a train crashed into an army truck during a military exercise in southern Finland on Thursday, police and the armed forces said. The accident occurred at an unguarded railway crossing near the city of Raasepori, 90 km (56 miles) west of the capital Helsinki, when two military vehicles were crossing the tracks on their way to a training site. The train and one of the vehicles collided, killing three soldiers aboard the truck and a passenger on the train, officials said. Road conditions were bad in the morning due to rain and snowfall. Inspector Ilkka Kantola told Helsingin Sanomat newspaper that the train had hit the truck at a speed of around 100 kilometres per hour. According to Kantola, the train driver had seen the truck but thought that it would stop as it was driving very slowly.  The train put on the break but the speed did not necessarily slow down at all ahead of the collision,  Kantola was quoted as saying. The soldier who had driven the truck will face charges for endangering traffic safety and manslaughter, he added. Four people were taken to Helsinki with severe injuries and seven others were treated at a local hospital for minor injuries. All patients were said to be in stable condition. Finnish Prime Minister Juha Sipila and President Sauli Niinisto both offered their condolences to the victims and their families.  The young conscripts were there for their country. That their journey ends in many deaths and in serious injuries is a true tragedy,  President Niinisto said in a statement. Military service is obligatory for men in Finland. ",0
39249,"NAIROBI (Reuters) - It had all the trappings of a proper polling station - ballot-boxes, pots of indelible ink, registration lists and a dozen election officials dutifully seated behind school desks. The only things missing were the voters. In Nairobi s Kibera slum, a hot-bed of support for veteran opposition leader Raila Odinga, many young men failed to heed his call for a peaceful stay-away from Thursday s election, a re-run of an August presidential vote annulled by the courts. After opening six hours late because of a lack of security, the polling station at Kibera s Olympic Primary School came under attack from stone-throwing youths determined to ward off any voters. Police at the gates responded with volleys of tear gas followed by live rounds, sending gangs of youths chanting slogans against President Uhuru Kenyatta scurrying for cover in the warren of streets and tin-shacks next to the school walls. Riot officers then sealed off the area, making it impossible for even residents to get through, let alone would-be voters prepared to run the gauntlet of pro-Odinga peer pressure.  I don t want to vote. I just want to go to my home,  said 24-year-old Kevin Ouma-Sigiria, after being turned back by armed riot police blocking the rubble-strewn road 500 metres (1500 feet) from the school. As he spoke, another man tried to talk his way through the road-block, only to receive a prod in the chest from a wooden club, followed by a nonchalant whack around the ankles.  There is a crisis up there,  one of the riot officers, who idenitified himself only as Kevin, said.  If they come one-by-one, that s OK. But if they gather again, the crisis will get bigger.  Moments later, 35-year-old Said Mohammed scurried down the street in the opposite direction with his wife and three small children to pack them off to relatives living up-country.  It s not good for their health,  he said, clutching his children s hands as the pop of exloding tear-gas grenades echoed across the tin roof-tops. Other opposition strongholds in western Kenya saw similar unrest, causing the election commission to postpone voting there until the weekend - although there is little prospect of a 48-hour delay yielding a different outcome. In Kibera, polling station staff should have slept overnight at the Olympic school but were unable to do so because of fear of being attacked. As it was, they arrived under armed escort at 10am - four hours after voting was meant to start.  The ballot boxes, also escorted by a heavily armed police contingent, arrived an hour after that - not that there was any chance of them being used.  Nobody is going to vote here today,  said Olympic deputy presiding officer Jaqueline Onuko, blithely tucking into a sandwich as rocks clanged against the metal roof of the classroom-cum-polling station.  The first time around was very busy...They were here queueing at 3 in the morning. Now nobody is going to come. They are scared of both the police and their neighbors.  ",0
39250,"MADRID (Reuters) - Spain s government is ready to suspend the application of direct rule in Catalonia if Catalan head Carles Puigdemont calls a snap regional election, La Vanguardia newspaper reported on Thursday, citing sources from the ruling People s Party. Puigdemont is set to call an election, according to political allies, a move that could help break a one-month deadlock between the Madrid government and separatists seeking a split from Spain. ",0
39251,"MADRID (Reuters) - The president of Catalonia s regional government, Carles Puigdemont, will deliver a speech at 5 p.m. (1500 GMT), his office said on Thursday. Puigdemont is set to call a snap regional election, according to his political allies, a move that could help break a one-month deadlock between the Madrid government and separatists seeking a split from Spain. ",0
39252,"MADRID (Reuters) - Catalan leader Carles Puigdemont on Thursday said he had decided not to call a snap election because he had not obtained enough guarantees from the central government that the move would stop the imposition of direct rule in Catalonia.  I was ready to call an election if guarantees were given. There is no guarantee that justifies calling an election today,  Puigdemont said. He also said it was now up to the Catalan parliament to move forward with a mandate to split from Spain following an independence referendum that took place on Oct. 1. ",0
39253,"MOSCOW (Reuters) - A company with ties to an ally of Russian President Vladimir Putin has won the right to develop a prime piece of Moscow real estate near the Kremlin, two sources familiar with the deal told Reuters. Moscow city government auctioned off the plot, which lies on the bank s of the Moskva river and includes a number of historic buildings, and it was won by a construction company called Gorkapstroy-Garant, according to the city. The two sources, who spoke on condition of anonymity because of the sensitivity of the matter, said that the firm represents the interests of businessman Gennady Timchenko. Reuters was not able to independently verify that Timchenko, who has been described by the U.S. Treasury Department as a member of Putin s inner circle, has a financial interest.  A spokesman for the Volga Group, which groups together Timchenko s business interests, did not respond to telephone calls or to an emailed request for comment on Thursday. The plot is a few hundred meters from the Kremlin, and some of the buildings on it date back to the 18th century. Under a development plan presented by the Moscow city government in August, the winning bidder will preserve and restore historic buildings, turn one of the buildings into a hotel and convert some of the complex into apartments.           Timchenko has since 2014 been subject to U.S. sanctions imposed on Moscow for its role in the Ukraine crisis.  No contact details are listed for Gorkapstroy-Garant. Its parent company, Gorkapstroy, did not respond to a written request for comment. Staff were unable to connect a Reuters reporter by phone to Gorkapstroy s boss. The site had been used as a training facility for Russia s Strategic Rocket Forces, the arm of the military which operates Russia s nuclear arsenal. It became the property of Moscow city a few years ago.  ",0
39254,"CAIRO (Reuters) - Islamic State has claimed responsibility for an attack in northeast Nigeria that killed eight soldiers and a civilian and injured five other people on Tuesday, a statement by the group said on Thursday.  The fighters took three four-wheel-drive vehicles and others mounted with rifles and heavy weaponry and various ammunition,  the statement said.  The group did not provide evidence for its claim. ",0
39255,"ATHENS (Reuters) - The Athens Metro came to a standstill on Thursday when workers in the Greek capital began a 24-hour strike to oppose the possible privatization of the rail operator. The strike disrupted the daily commute for thousands of Athenians and caused gridlock on streets leading to the city center.  Metro workers are protesting the transfer of Attiko Metro operator and other state-owned enterprises to a sovereign wealth fund set up under the latest international bailout with the EU and the IMF. Proceeds from the fund, known as the Hellenic Corporation of Assets and Participations, will help Greece cut its debt burden and fund investments. Privatizations have been a pillar of Greek bailouts since 2010 but have reaped poor revenues so far amid bureaucracy and opposition by politicians and unions. Greece is aiming for 5.5 billion euros from state asset sales by 2018, when its bailout expires. Big tickets this year include the sale of a 66 percent stake in the natural gas grid DESFA and a 67 percent stake in the port of Thessaloniki. ",0
39256,"ROME (Reuters) - Italy s upper house Senate approved on Thursday a new electoral system that is expected to handicap the anti-establishment 5-Star Movement at a forthcoming national election and favor mainstream political blocs. The bill has already been approved by the lower house thanks to a battery of confidence motions that swept aside all opposition and now only needs a green light from the head of state to become law. This is expected in the coming days. The voting system, a mix of proportional representation and first-past-the-post, will benefit parties that form pre-election coalitions   something the 5-Star has always ruled out. With opinion polls pointing to a three-way split between the centre-left, centre-right and 5-Star, analysts say the new electoral law will not produce a clear-cut winner at the next election, which is due by May 2018. Italy has had 64 governments since the end of World War Two, including five in the past seven years, and a renewed bout of political instability in the euro zone s third-largest economy could hurt global financial markets. To prevent a financial backlash, analysts say some form of grand coalition between the more moderate parties on the left and right is likely to emerge from any ballot-box stalemate.  You are all the same. You don t have any ideas or any policies, just the same mission: to keep hold of your seats and continue to squeeze the country dry,  the 5-Star Senate leader, Giovanni Endrissi, told the upper chamber on Thursday. Polls show the 5-Star is currently the most popular party in Italy, with support at around 30 percent nationally. President Sergio Mattarella had called on parliament to draw up a new law to harmonize the existing voting rules that risked throwing up different results in the two houses.  All previous attempts at reform fell foul of political infighting but, unexpectedly, the ruling Democratic Party (PD) of former prime minister Matteo Renzi struck a deal with Silvio Berlusconi s Forza Italia party over a revised voting system. The rightist Northern League also backed the initiative.  This law is the fruit of delicate mediation between coalition and opposition parties, which are very different parties with very different interests,  said Luigi Zanda, PD Senate leader. This will be Italy s third electoral law since 1993 and gives political leaders the power to pack electoral lists with supporters, potentially stifling internal party debate. The first-past-the-post element will benefit parties that have a strong local base, notably the Northern League, which looks set to win a large majority of seats in the wealthy north. Under the new system, IXE pollsters predicted on Thursday that a centre-right bloc made up of Forza Italia, the Northern League and Brothers of Italy party would win 269 of the 630 seats up for grabs in the lower house.  Renzi s PD allied with a small centrist party would take 180 seats and 5-Star 153 seats. A small bloc of leftist parties that have rebelled against Renzi, would take 20 seats, IXE said. Approval of the electoral law leaves parliament with one final task to complete before the houses can be dissolved   the reading of the 2018 budget. That legislation is expected to be passed by Christmas, which could open the way for national elections as early as March. ",0
